,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,27860,10720,33,289,958,1072,1677,2045,2168,1784,694,17140,19,246,974,1472,2128,3346,4098,3334,1523
1,2019-01,30276,11353,30,280,916,1140,1707,2156,2212,2050,862,18923,16,251,1047,1616,2267,3734,4527,3765,1700
2,2019-02,25001,9620,32,255,813,1020,1483,1770,1926,1675,646,15381,11,243,890,1294,1783,3052,3687,3030,1391
3,2019-03,28127,10778,38,270,920,1104,1647,1972,2180,1885,762,17349,15,290,1024,1481,2081,3414,4029,3403,1612
4,2019-04,29863,11426,46,321,982,1101,1805,2103,2343,1885,840,18437,24,327,1155,1675,2147,3581,4244,3524,1760
5,2019-05,30543,11706,53,340,1110,1270,1683,2139,2266,1978,867,18837,27,360,1247,1714,2312,3547,4256,3487,1887
6,2019-06,28382,10854,46,328,996,1176,1640,1988,2108,1800,772,17528,19,363,1197,1664,2249,3338,3914,3185,1599
7,2019-07,31616,11905,41,353,1037,1300,1765,2326,2313,1921,849,19711,27,367,1390,1865,2590,3695,4417,3525,1835
8,2019-08,29699,11363,51,367,1007,1228,1716,2143,2221,1836,794,18336,28,378,1294,1752,2384,3537,4145,3213,1605
9,2019-09,29193,11063,35,360,942,1221,1750,2148,2115,1755,737,18130,15,384,1269,1624,2404,3360,4124,3278,1672
10,2019-10,30974,11684,48,423,1096,1228,1740,2179,2198,1915,857,19290,30,447,1520,1734,2512,3520,4250,3497,1780
11,2019-11,29342,11254,32,359,1082,1226,1716,2089,2127,1819,804,18088,23,436,1446,1641,2323,3309,4089,3205,1616
12,2019-12,30089,11482,33,321,1064,1339,1691,2170,2215,1859,790,18607,30,317,1497,1783,2297,3402,4209,3412,1660
13,2020-01,29524,11402,26,286,984,1252,1790,2100,2299,1828,837,18122,23,335,1356,1646,2219,3324,4149,3372,1698
14,2020-02,28165,10859,24,315,959,1256,1664,2007,2145,1714,775,17306,19,406,1284,1604,2134,3122,4020,3133,1584
15,2020-03,29460,11478,24,314,1014,1288,1746,2113,2263,1838,878,17982,21,285,1336,1604,2257,3169,4236,3506,1568
16,2020-04,30010,11436,27,328,1072,1312,1742,2165,2211,1786,793,18574,32,338,1421,1735,2308,3260,4342,3461,1677
17,2020-05,31315,11924,22,384,1154,1388,1841,2137,2308,1826,864,19391,32,395,1606,1813,2409,3376,4475,3512,1773
18,2020-06,32058,12069,40,433,1209,1370,1876,2147,2267,1861,866,19989,36,506,1765,1932,2551,3412,4405,3467,1915
19,2020-07,33497,12571,52,484,1284,1484,1918,2271,2380,1839,859,20926,34,552,1868,2077,2728,3695,4519,3636,1817
20,2020-08,30671,11726,30,472,1175,1330,1762,2203,2209,1732,813,18945,32,490,1652,1827,2529,3335,4076,3363,1641
21,2020-09,33654,12618,42,492,1291,1429,1918,2183,2476,1911,876,21036,42,521,1898,2016,2696,3595,4642,3655,1971
22,2020-10,30887,11679,35,427,1257,1369,1741,2017,2270,1753,810,19208,45,512,1737,1882,2435,3316,4241,3421,1619
23,2020-11,31884,12113,38,450,1318,1425,1776,2178,2294,1798,836,19771,53,532,1846,2054,2587,3282,4477,3304,1636
24,2020-12,33754,12617,37,443,1308,1457,1822,2239,2525,1910,876,21137,62,509,1946,2134,2745,3568,4840,3589,1744
25,2021-01,31771,11837,34,379,1303,1413,1751,2047,2234,1784,892,19934,58,468,1896,2010,2583,3152,4621,3501,1645
26,2021-02,31317,11704,42,367,1240,1330,1763,2067,2257,1816,822,19613,39,421,1868,1928,2468,3171,4609,3453,1656
27,2021-03,37069,13760,59,461,1495,1669,2048,2322,2629,2133,944,23309,56,575,2312,2296,2895,3814,5380,4038,1943
