,f411,f419,f320
0,90415,456084,206905
1,905522,2881330,6124945
2,2794352,8337869,18947735
3,2868808,7365451,15481057
4,3285230,8087924,13386951
5,3772975,8124246,12329774
6,4333064,8245996,13458962
7,3156063,6583052,10752715
8,1448510,3482055,5340532
