,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,104344,34298,112,2199,4890,4380,4935,5388,5223,5019,2152,70046,62,3937,8735,9150,9999,11300,12023,10336,4504
1,2019-01,113091,36674,111,2094,5199,4556,5149,5725,5827,5550,2463,76417,74,3654,9294,9789,10817,12308,13430,11872,5179
2,2019-02,93231,30479,97,1777,4302,3711,4343,4872,4782,4544,2051,62752,55,2907,7722,8194,9131,10323,11062,9207,4151
3,2019-03,104869,34431,123,2056,4912,4207,5026,5426,5375,4973,2333,70438,79,3468,8838,9248,10160,11404,12192,10312,4737
4,2019-04,111751,36428,141,2280,5302,4442,5244,5696,5691,5204,2428,75323,83,3863,9632,10056,10776,12033,12855,11012,5013
5,2019-05,114994,37559,134,2546,5699,4735,5252,5758,5696,5247,2492,77435,92,4110,10104,10383,11293,12227,12984,11072,5170
6,2019-06,105304,34328,125,2420,4981,4392,5003,5301,5153,4699,2254,70976,76,4107,9323,9734,10407,11104,11629,9991,4605
7,2019-07,118771,38496,127,2525,5691,5056,5468,5754,5956,5340,2579,80275,91,4315,10661,11187,11595,12568,13359,11205,5294
8,2019-08,113643,37291,125,2483,5615,4966,5436,5615,5570,5047,2434,76352,97,4327,10689,10696,11045,11706,12328,10441,5023
9,2019-09,108907,35257,116,2410,5149,4512,5100,5124,5525,4931,2390,73650,86,3991,10138,10146,10537,11267,12244,10308,4933
10,2019-10,118460,37889,131,2586,5694,5078,5558,5452,5830,5074,2486,80571,93,4632,11793,11214,11348,12043,13196,10943,5309
11,2019-11,116502,37648,122,2667,5953,5220,5499,5394,5511,4859,2423,78854,90,4761,12500,11159,11190,11545,12274,10336,4999
12,2019-12,118963,38410,108,2510,5976,5164,5551,5508,5793,5209,2591,80553,80,4367,12602,11154,11234,11688,13194,10946,5288
13,2020-01,114288,36955,90,2156,5674,4797,5291,5362,5870,5134,2581,77333,82,3612,11805,10531,10670,11356,13038,10911,5328
14,2020-02,108617,35412,85,2050,5433,4830,5235,5076,5507,4791,2405,73205,67,3332,11590,10120,10150,10813,12322,10029,4782
15,2020-03,112171,36451,73,1940,5613,5007,5261,5294,5712,5067,2484,75720,63,3225,12189,10131,10266,11148,12966,10646,5086
16,2020-04,114120,36731,89,2010,5947,5198,5295,5222,5613,4899,2458,77389,75,3365,12838,10723,10395,11189,13118,10579,5107
17,2020-05,119490,38558,107,2240,6183,5549,5646,5613,5705,4963,2552,80932,92,3759,13758,11376,11117,11591,13251,10719,5269
18,2020-06,120809,38309,106,2282,6192,5325,5533,5537,5681,5056,2597,82500,104,4018,14180,11618,11236,11644,13313,11044,5343
19,2020-07,126513,39955,144,2544,6626,5544,5739,5635,5895,5176,2652,86558,86,4743,14803,12620,11891,12099,13750,11074,5492
20,2020-08,113516,36185,139,2271,5790,5004,5268,5144,5397,4770,2402,77331,98,4063,12863,11107,10597,10863,12658,10071,5011
21,2020-09,124087,39112,130,2409,6217,5576,5573,5397,5919,5217,2674,84975,107,4323,14196,12047,11626,11808,13995,11354,5519
22,2020-10,114279,36154,109,2329,5905,5144,5062,4959,5441,4792,2413,78125,93,4035,13308,11017,10604,10697,12884,10345,5142
23,2020-11,118530,37470,107,2465,6224,5281,5299,5083,5546,4957,2508,81060,92,4199,14156,11668,10903,11023,13277,10584,5158
24,2020-12,126139,39913,105,2362,6603,5736,5734,5477,5976,5272,2648,86226,108,4059,14802,12380,11618,11870,14407,11387,5595
25,2021-01,114443,36544,107,2204,6093,5251,5202,5032,5512,4837,2306,77899,77,3649,13531,11326,10387,10628,13093,10174,5034
26,2021-02,110886,35047,93,2005,5773,4867,4995,4881,5466,4710,2257,75839,84,3440,12851,10621,10207,10536,12936,10140,5024
27,2021-03,129354,40571,124,2376,6850,5639,5736,5590,6278,5329,2649,88783,87,3966,15284,12768,11782,12027,15092,11920,5857
