,f411,f419,f320
f_total,290841,740299,1203875
f0-9,588,2609,1315
f10-19,6756,22492,57788
f20-29,25570,78736,202154
f30-39,28566,77608,170053
f40-49,37396,100900,163449
f50-59,50134,123578,169292
mf0-69,65740,144847,200100
f70-79,51063,119363,160977
f80-,25028,70166,78747
