,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,27441,10443,33,288,863,1042,1607,2040,2145,1739,686,16998,19,244,974,1453,2089,3330,4066,3327,1496
1,2019-01,29924,11254,30,278,888,1139,1710,2153,2207,2015,834,18670,16,250,1045,1582,2234,3674,4463,3718,1688
2,2019-02,24641,9495,32,255,811,1020,1429,1765,1923,1629,631,15146,11,242,889,1269,1782,3006,3637,2969,1341
3,2019-03,27805,10643,38,271,914,1100,1644,1971,2097,1846,762,17162,15,286,1020,1480,2080,3396,4004,3301,1580
4,2019-04,29472,11227,46,313,979,1084,1741,2077,2297,1853,837,18245,24,319,1156,1665,2146,3561,4226,3465,1683
5,2019-05,30073,11524,51,338,1067,1268,1682,2137,2219,1895,867,18549,27,350,1245,1711,2293,3501,4235,3436,1751
6,2019-06,28029,10701,46,328,992,1170,1639,1972,2068,1753,733,17328,19,363,1185,1648,2221,3328,3891,3158,1515
7,2019-07,31109,11743,41,353,1037,1296,1750,2289,2268,1861,848,19366,27,365,1368,1824,2561,3683,4334,3498,1706
8,2019-08,29408,11257,51,368,1009,1226,1670,2121,2222,1796,794,18151,28,375,1295,1736,2371,3505,4104,3182,1555
9,2019-09,28869,10944,35,361,892,1220,1750,2110,2111,1727,738,17925,15,383,1258,1621,2405,3338,4028,3256,1621
10,2019-10,30669,11585,48,424,1079,1229,1728,2149,2193,1878,857,19084,30,447,1516,1722,2499,3454,4218,3457,1741
11,2019-11,29024,11127,32,359,1083,1224,1691,2059,2126,1761,792,17897,21,436,1444,1640,2324,3274,4011,3165,1582
12,2019-12,29865,11338,33,320,1030,1339,1691,2119,2204,1812,790,18527,30,316,1492,1774,2271,3372,4210,3403,1659
13,2020-01,29207,11318,26,286,985,1255,1786,2088,2292,1763,837,17889,23,335,1354,1649,2223,3271,4043,3321,1670
14,2020-02,27682,10770,24,315,959,1256,1664,1979,2133,1679,761,16912,19,330,1280,1605,2109,3067,3894,3055,1553
15,2020-03,29146,11348,24,312,996,1285,1746,2100,2232,1808,845,17798,21,284,1337,1604,2229,3164,4152,3449,1558
16,2020-04,29613,11318,27,328,1070,1283,1741,2152,2173,1753,791,18295,32,339,1421,1732,2304,3244,4241,3375,1607
17,2020-05,30827,11809,22,384,1153,1378,1841,2128,2270,1796,837,19018,32,381,1606,1813,2375,3346,4369,3430,1666
18,2020-06,31480,11972,40,432,1206,1350,1861,2139,2233,1846,865,19508,36,506,1711,1932,2545,3348,4325,3360,1745
19,2020-07,33045,12472,52,482,1284,1474,1893,2264,2335,1836,852,20573,34,551,1830,2059,2726,3673,4443,3510,1747
20,2020-08,30334,11654,30,472,1175,1330,1731,2169,2209,1728,810,18680,32,490,1631,1826,2514,3327,4066,3214,1580
21,2020-09,33020,12391,42,479,1290,1422,1887,2183,2388,1878,822,20629,42,520,1851,2015,2696,3577,4589,3584,1755
22,2020-10,30601,11636,38,420,1249,1370,1745,2022,2245,1739,808,18965,45,511,1720,1887,2439,3297,4185,3314,1567
23,2020-11,31643,12094,40,442,1319,1429,1780,2158,2298,1792,836,19549,53,534,1840,2050,2564,3256,4390,3226,1636
24,2020-12,33535,12609,41,433,1311,1459,1829,2231,2502,1925,878,20926,63,510,1946,2137,2720,3548,4746,3511,1745
25,2021-01,31429,11781,35,385,1322,1415,1753,2054,2212,1767,838,19648,58,460,1887,2020,2576,3124,4455,3423,1645
26,2021-02,31056,11695,45,372,1258,1320,1754,2075,2217,1828,826,19361,41,425,1846,1934,2475,3147,4506,3355,1632
27,2021-03,36821,13731,60,469,1465,1674,2051,2330,2618,2126,938,23090,57,580,2310,2303,2901,3745,5336,3936,1922
