,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,2830684,1190944,13420,78973,156269,158965,192432,188712,178440,162201,61532,1639740,7063,76683,181944,205296,243054,296574,275573,221303,132250
1,2019-01,3208919,1344379,13417,83753,186743,188150,204749,203221,200847,191354,72145,1864540,8009,67760,197515,233942,275604,326225,332709,263621,159154
2,2019-02,2736406,1151773,12685,82680,156405,151194,178778,175119,177306,152098,65506,1584634,6507,66887,175950,192832,228874,271177,276550,238907,126949
3,2019-03,3146652,1313426,15008,75595,195281,177451,209126,208593,193087,168204,71081,1833227,8962,78443,195396,215640,282681,313814,326483,252348,159459
4,2019-04,3299953,1363149,20061,83972,205326,188110,217660,207347,189531,173098,78045,1936803,12058,102174,215664,239820,281345,333860,325880,268508,157495
5,2019-05,3408231,1432402,19503,117076,205938,190593,230890,241094,187927,159878,79503,1975829,13217,86871,219871,255488,298710,346204,333448,264779,157242
6,2019-06,3136397,1281835,15572,89422,182653,182950,214321,197377,175334,155448,68756,1854562,9886,89775,213787,235795,280913,328515,306453,244097,145340
7,2019-07,3486488,1465899,18377,99406,223622,206576,241166,226822,197129,173297,79505,2020589,10911,84052,248758,262026,318264,373726,321871,258709,142273
8,2019-08,3387859,1422814,15903,84505,199794,199206,229735,222778,207148,186470,77276,1965045,11594,97469,246914,254379,299097,336531,328541,241015,149504
9,2019-09,3208111,1322571,17423,80652,183412,179383,217817,218451,181442,171213,72780,1885540,10191,80339,231830,235676,283887,317051,337150,239721,149695
10,2019-10,3393611,1356407,15598,82825,207982,191458,223757,202413,186639,167523,78213,2037204,10742,102399,260893,257148,307680,354490,340737,259298,143817
11,2019-11,3205862,1326936,15788,80958,207494,195170,222914,186347,182627,170294,65344,1878926,11446,87486,265794,243811,281216,311742,310796,229587,137047
12,2019-12,3228247,1340598,15387,77934,207905,202841,223188,185831,186575,170556,70382,1887649,11882,75008,258030,244293,284217,301642,310179,253148,149249
13,2020-01,3348650,1388560,15950,75477,200151,192871,218636,204568,204775,191060,85071,1960090,9732,70062,267236,234080,308787,333095,328653,255424,153022
14,2020-02,3101119,1310282,13584,74889,198149,190884,220692,192423,182192,160730,76738,1790837,8397,66416,254991,233462,260307,311459,291127,232205,132473
15,2020-03,3259343,1350016,9808,71902,207699,193566,208868,201376,197547,171619,87631,1909328,10705,72951,270139,236766,274109,305060,318739,260647,160211
16,2020-04,3275638,1323078,13512,62985,214450,192205,215896,196544,183616,167551,76321,1952560,10240,80548,263185,248037,283421,319871,334180,265021,148056
17,2020-05,3474682,1411830,16973,84660,227555,203864,226944,213455,199356,163722,75301,2062851,11196,90167,315500,269264,308678,328366,327645,256628,155406
18,2020-06,3668119,1478951,22798,99630,237677,225429,231108,209525,199458,179989,73337,2189168,14248,107240,325542,292619,332092,341429,342276,255744,177978
19,2020-07,3901937,1588951,21052,100839,253594,228986,245100,232717,211576,193196,101891,2312986,14514,138902,340762,294678,345552,363916,376104,279284,159273
20,2020-08,3486369,1420440,16942,96861,224792,210807,222425,210945,187697,180569,69402,2065929,14951,101853,312909,267262,298466,330965,333020,251839,154664
21,2020-09,3770370,1496939,20014,102744,232459,229365,234774,209830,211890,184323,71542,2273431,12651,124825,336262,288085,337543,339174,380324,286657,167910
22,2020-10,3492377,1396429,16543,98783,247981,198447,220777,192157,185520,170461,65758,2095948,16403,107353,323348,268397,294165,329254,352004,260239,144784
23,2020-11,3597399,1440400,18759,100170,253208,209731,231360,202080,192473,162795,69825,2156999,15747,112008,340476,299436,304283,335167,351358,259674,138852
24,2020-12,3701463,1522970,20235,103367,250859,230390,241092,233567,204523,168976,69959,2178494,12417,103695,349514,306248,315691,323399,362920,254686,149924
25,2021-01,3662424,1476137,19457,85099,255339,227563,233620,214471,191202,171342,78044,2186287,13456,106672,349360,303936,298536,319985,377659,264138,152546
26,2021-02,3580672,1437510,18267,88590,248636,216986,234610,194258,197455,166113,72594,2143162,14769,99858,329751,285803,306608,316380,367359,269887,152747
27,2021-03,4243447,1685843,19304,118151,301839,249962,270523,235548,222496,184551,83469,2557604,13460,134633,404506,336322,363261,383262,430852,313982,177326
