,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,106127,35182,112,2223,4975,4410,5071,5609,5479,5069,2234,70945,62,4096,8840,9207,10052,11390,12114,10476,4708
1,2019-01,114841,37631,111,2094,5305,4617,5328,5887,6132,5586,2571,77210,74,3769,9382,9842,10858,12372,13488,12067,5358
2,2019-02,95087,31776,97,1789,4649,3771,4505,5043,5138,4625,2159,63311,55,3005,7760,8233,9159,10392,11090,9304,4313
3,2019-03,107062,35749,123,2076,5061,4344,5173,5693,5734,5087,2458,71313,79,3568,8896,9344,10202,11514,12263,10488,4959
4,2019-04,113956,37674,141,2281,5435,4501,5382,5930,6067,5404,2533,76282,83,3934,9726,10183,10871,12144,12980,11158,5203
5,2019-05,116980,38620,134,2557,5860,4739,5352,5968,6062,5292,2656,78360,92,4192,10170,10465,11332,12366,13060,11265,5418
6,2019-06,107584,35414,125,2453,5058,4461,5078,5467,5521,4862,2389,72170,76,4371,9376,9776,10450,11243,11758,10211,4909
7,2019-07,121020,39571,127,2563,5739,5154,5534,5957,6334,5478,2685,81449,104,4404,10667,11265,11712,12678,13479,11442,5698
8,2019-08,115899,38461,125,2534,5688,5089,5509,5787,5873,5262,2594,77438,97,4394,10779,10698,11129,11842,12503,10656,5340
9,2019-09,110783,36163,116,2425,5236,4588,5200,5261,5737,5046,2554,74620,86,4141,10222,10231,10603,11353,12288,10492,5204
10,2019-10,120633,38946,131,2586,5812,5144,5637,5615,6101,5260,2660,81687,93,4759,11894,11271,11391,12175,13317,11185,5602
11,2019-11,118622,38707,122,2682,6053,5313,5575,5542,5827,5031,2562,79915,90,4842,12561,11217,11214,11608,12434,10614,5335
12,2019-12,120755,39340,108,2547,6089,5232,5606,5663,6040,5349,2706,81415,80,4480,12636,11217,11241,11760,13344,11104,5553
13,2020-01,115986,37875,90,2220,5730,4854,5340,5538,6181,5241,2681,78111,82,3651,11850,10594,10669,11442,13126,11079,5618
14,2020-02,110329,36417,85,2099,5525,4879,5271,5195,5953,4899,2511,73912,67,3354,11620,10156,10176,10867,12387,10227,5058
15,2020-03,114005,37369,73,1979,5698,5050,5276,5443,6113,5134,2603,76636,63,3240,12259,10208,10266,11247,13026,10907,5420
16,2020-04,115539,37491,89,2026,6021,5256,5293,5327,6027,4932,2520,78048,75,3378,12869,10751,10396,11236,13158,10886,5299
17,2020-05,121133,39439,107,2254,6286,5604,5647,5759,6177,4993,2612,81694,92,3775,13789,11443,11143,11637,13375,10974,5466
18,2020-06,122328,39055,106,2286,6236,5346,5543,5766,6024,5085,2663,83273,104,4116,14194,11676,11284,11654,13388,11279,5578
19,2020-07,128148,40754,144,2573,6711,5545,5780,5817,6258,5205,2721,87394,86,4759,14810,12679,11962,12118,13903,11335,5742
20,2020-08,115135,36818,139,2298,5830,5054,5263,5359,5647,4797,2431,78317,98,4142,12888,11187,10621,10932,12810,10352,5287
21,2020-09,125753,39804,130,2416,6288,5623,5591,5579,6225,5244,2708,85949,107,4405,14292,12153,11660,11818,14082,11688,5744
22,2020-10,115733,36830,109,2324,5991,5178,5055,5089,5816,4799,2469,78903,93,4105,13400,11128,10685,10682,13021,10526,5263
23,2020-11,120207,38305,107,2469,6276,5316,5333,5316,5939,4979,2570,81902,92,4308,14219,11761,11016,11042,13364,10775,5325
24,2020-12,127732,40637,105,2398,6641,5777,5761,5658,6294,5292,2711,87095,108,4135,14835,12464,11708,11860,14450,11653,5882
25,2021-01,115453,37128,107,2228,6147,5279,5195,5185,5742,4881,2364,78325,77,3666,13553,11357,10416,10631,13175,10335,5115
26,2021-02,111959,35681,93,2060,5819,4947,4996,5005,5652,4792,2317,76278,83,3460,12870,10672,10218,10523,13011,10286,5155
27,2021-03,130818,41362,124,2391,6925,5680,5730,5833,6487,5405,2787,89456,87,4044,15316,12830,11806,12067,15160,12086,6060
