,date,total,m_total,m_out,m_in,fm_total,fm_out,fm_in
1,2018-12,66795,22159,22111,57,44636,44587,64
2,2019-01,69566,22775,22720,68,46791,46746,61
3,2019-02,64334,21168,21106,73,43166,43129,40
4,2019-03,68396,22680,22610,76,45716,45674,56
5,2019-04,70308,23073,23003,82,47235,47188,64
6,2019-05,71279,23454,23390,74,47825,47768,74
7,2019-06,69005,22715,22657,67,46290,46229,79
8,2019-07,73095,24058,24003,69,49037,48976,89
9,2019-08,72333,23976,23916,69,48357,48305,69
10,2019-09,71712,23504,23452,61,48208,48161,61
11,2019-10,74322,24137,24085,60,50185,50129,75
12,2019-11,73690,24106,24049,59,49584,49527,72
13,2019-12,74729,24429,24374,61,50300,50259,56
14,2020-01,73420,23989,23940,59,49431,49396,44
15,2020-02,71616,23489,23440,54,48127,48088,51
16,2020-03,72234,23689,23648,44,48545,48506,45
17,2020-04,72610,23663,23622,44,48947,48905,43
18,2020-05,75666,24618,24574,47,51048,51011,53
19,2020-06,76482,24657,24621,39,51825,51786,48
20,2020-07,78037,25170,25122,52,52867,52826,56
21,2020-08,75161,24183,24148,38,50978,50937,56
22,2020-09,78419,25032,24997,36,53387,53337,57
23,2020-10,76446,24432,24394,40,52014,51972,51
24,2020-11,77117,24740,24705,38,52377,52331,53
25,2020-12,78678,25152,25111,49,53526,53479,56
26,2021-01,76740,24556,24521,37,52184,52161,30
27,2021-02,76737,24402,24360,44,52335,52308,32
28,2021-03,82112,26156,26109,51,55956,55918,45
