,date,total,m_total,m_out,m_in,fm_total,fm_out,fm_in
1,2018-12,19959,7596,7558,42,12363,12315,55
2,2019-01,21269,8064,8038,29,13205,13135,76
3,2019-02,18967,7250,7229,25,11717,11667,57
4,2019-03,20476,7831,7799,34,12645,12596,58
5,2019-04,21155,8099,8057,49,13056,12989,70
6,2019-05,21282,8168,8130,43,13114,13053,69
7,2019-06,20440,7771,7742,31,12669,12608,72
8,2019-07,21787,8274,8238,42,13513,13440,82
9,2019-08,21206,8141,8104,39,13065,12992,81
10,2019-09,21123,8057,8025,36,13066,13002,73
11,2019-10,21877,8277,8253,30,13600,13547,55
12,2019-11,21009,8080,8059,25,12929,12872,65
13,2019-12,21301,8103,8068,39,13198,13151,51
14,2020-01,21167,8157,8130,29,13010,12966,55
15,2020-02,20371,7876,7849,31,12495,12453,52
16,2020-03,21084,8192,8164,30,12892,12848,49
17,2020-04,21192,8086,8074,16,13106,13056,56
18,2020-05,22094,8497,8471,30,13597,13536,71
19,2020-06,22340,8601,8576,32,13739,13680,67
20,2020-07,23087,8807,8774,35,14280,14218,72
21,2020-08,22088,8491,8470,27,13597,13546,61
22,2020-09,23305,8759,8733,28,14546,14496,61
23,2020-10,22496,8564,8543,26,13932,13885,58
24,2020-11,22801,8752,8732,23,14049,14007,50
25,2020-12,23181,8736,8721,19,14445,14409,39
26,2021-01,22906,8621,8606,19,14285,14229,61
27,2021-02,23107,8771,8746,29,14336,14278,64
28,2021-03,25515,9564,9537,34,15951,15897,63
